II	1105	12582288	ECA1253	ECA1253	419	2	#000DFF	II	12278712	15257187	303576
II	3090755	12827624	ECA1693	ECA1693	393	13	#6694FF	II	12278712	15257187	548912
II	3090755	12827624	ECA1693	ECA2291	505	20	#6694FF	II	12278712	15257187	548912
II	3712241	15278597	ECA1243	ECA1243	453	9	#8F66FF	II	12278712	15257187	2978475
II	4305608	12380054	ECA2367	ECA1843	516	22	#E666FF	II	12278712	15257187	101342
II	4305608	12380054	ECA2367	ECA2367	513	33	#E666FF	II	12278712	15257187	101342
II	4347371	13042659	ECA1891	ECA1286	523	13	#DA00FF	II	12278712	15257187	763947
II	4347371	13042659	ECA1891	ECA1891	515	13	#DA00FF	II	12278712	15257187	763947
II	5853275	15278597	ECA1997	ECA1206	472	20	#5600CC	II	12278712	15257187	2978475
II	5853275	15278597	ECA1997	ECA1997	469	20	#5600CC	II	12278712	15257187	2978475
II	8603326	12660546	ECA1255	ECA1200	403	39	#668BFF	II	12278712	15257187	381834
II	8603326	12660546	ECA1255	ECA1255	399	39	#668BFF	II	12278712	15257187	381834
II	8634430	13030266	ECA593	ECA593	404	21	#0031FF	II	12278712	15257187	751554
II	8634430	13030266	ECA593	XZ2019	475	21	#0031FF	II	12278712	15257187	751554
II	8732443	12427130	ECA1725	ECA1725	421	8	#0007CC	II	12278712	15257187	148418
II	8732443	12427130	ECA1725	ECA2155	424	8	#0007CC	II	12278712	15257187	148418
II	8732443	12427130	ECA1725	ECA2159	423	8	#0007CC	II	12278712	15257187	148418
II	8732443	12427130	ECA1725	XZ1514	436	33	#0007CC	II	12278712	15257187	148418
II	9698615	12484835	ECA2473	ECA2473	463	12	#4A00CC	II	12278712	15257187	206123
II	10265108	12962216	NIC1801	NIC1801	363	67	#66BFFF	II	12278712	15257187	683504
II	10378853	15278597	ECA723	ECA1237	507	8	#C400FF	II	12278712	15257187	2978475
II	10378853	15278597	ECA723	ECA723	506	8	#C400FF	II	12278712	15257187	2978475
II	11295026	15278597	ECA1243	ECA2481	460	11	#8F66FF	II	12278712	15257187	2978475
II	11643833	12484835	ECA2473	ECA2081	512	39	#4A00CC	II	12278712	15257187	206123
II	11869576	12591418	ECA812	ECA712	417	53	#667EFF	II	12278712	15257187	312706
II	11869576	12591418	ECA812	ECA807	411	64	#667EFF	II	12278712	15257187	312706
II	11869576	12591418	ECA812	ECA812	408	64	#667EFF	II	12278712	15257187	312706
II	11892935	12673923	NIC1801	ECA2437	525	53	#66BFFF	II	12278712	15257187	395211
II	11907784	12962216	NIC1801	NIC1787	405	47	#66BFFF	II	12278712	15257187	683504
II	11907784	12962216	NIC1801	NIC1806	396	65	#66BFFF	II	12278712	15257187	683504
II	11964726	15278597	ECA1807	ECA1807	454	14	#3900CC	II	12278712	15257187	2978475
II	11964726	15278597	ECA1807	ECA1937	462	12	#3900CC	II	12278712	15257187	2978475
II	11964726	15278597	ECA1807	ECA1939	468	14	#3900CC	II	12278712	15257187	2978475
II	11964726	15278597	ECA1807	ECA1943	455	14	#3900CC	II	12278712	15257187	2978475
II	11983145	12455142	XZ1513	XZ1513	372	46	#66B2FF	II	12278712	15257187	176430
II	11991506	12290080	ECA1202	ECA1202	497	46	#AF00FF	II	12278712	15257187	11368
II	11991506	12290080	ECA1202	ECA1212	501	43	#AF00FF	II	12278712	15257187	11368
II	12016999	12708903	ECA2195	ECA2195	530	30	#FE00FF	II	12278712	15257187	430191
II	12016999	12708903	ECA2195	XZ1516	533	45	#FE00FF	II	12278712	15257187	430191
II	12031856	12478011	ECA2561	ECA2561	191	32	#34FF00	II	12278712	15257187	199299
